County,State,CountyFIPS,Diabetes_Number,Obesity_Number,Physical_Inactivity_Number,sex and age_total population_65 years and over_sex ratio (males per 100 females),race_total population,race_total population_one race,race_total population_two or more races,race_total population_one race_1,race_total population_one race_white,race_total population_one race_black or african american,race_total population_one race_american indian and alaska native,race_total population_one race_american indian and alaska native_cherokee tribal grouping,race_total population_one race_american indian and alaska native_chippewa tribal grouping,race_total population_one race_american indian and alaska native_navajo tribal grouping,race_total population_one race_american indian and alaska native_sioux tribal grouping,race_total population_one race_asian,race_total population_one race_asian_asian indian,race_total population_one race_asian_chinese,race_total population_one race_asian_filipino,race_total population_one race_asian_japanese,race_total population_one race_asian_korean,race_total population_one race_asian_vietnamese,race_total population_one race_asian_other asian,race_total population_one race_native hawaiian and other pacific islander,race_total population_one race_native hawaiian and other pacific islander_native hawaiian,race_total population_one race_native hawaiian and other pacific islander_guamanian or chamorro,race_total population_one race_native hawaiian and other pacific islander_samoan,race_total population_one race_native hawaiian and other pacific islander_other pacific islander,race_total population_one race_some other race,race_total population_two or more races_1,race_total population_two or more races_white and black or african american,race_total population_two or more races_white and american indian and alaska native,race_total population_two or more races_white and asian,race_total population_two or more races_black or african american and american indian and alaska native,race alone or in combination with one or more other races_total population,race alone or in combination with one or more other races_total population_white,race alone or in combination with one or more other races_total population_black or african american,race alone or in combination with one or more other races_total population_american indian and alaska native,race alone or in combination with one or more other races_total population_asian,race alone or in combination with one or more other races_total population_native hawaiian and other pacific islander,race alone or in combination with one or more other races_total population_some other race,hispanic or latino and race_total population,hispanic or latino and race_total population_hispanic or latino (of any race),hispanic or latino and race_total population_hispanic or latino (of any race)_mexican,hispanic or latino and race_total population_hispanic or latino (of any race)_puerto rican,hispanic or latino and race_total population_hispanic or latino (of any race)_cuban,hispanic or latino and race_total population_hispanic or latino (of any race)_other hispanic or latino,hispanic or latino and race_total population_not hispanic or latino,hispanic or latino and race_total population_not hispanic or latino_white alone,hispanic or latino and race_total population_not hispanic or latino_black or african american alone,hispanic or latino and race_total population_not hispanic or latino_american indian and alaska native alone,hispanic or latino and race_total population_not hispanic or latino_asian alone,hispanic or latino and race_total population_not hispanic or latino_native hawaiian and other pacific islander alone,hispanic or latino and race_total population_not hispanic or latino_some other race alone,hispanic or latino and race_total population_not hispanic or latino_two or more races,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races including some other race,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races excluding some other race -  and three or more races,total housing units,citizen -  voting age population_citizen -  18 and over population,citizen -  voting age population_citizen -  18 and over population_male,citizen -  voting age population_citizen -  18 and over population_female,sex and age_total population,sex and age_total population_male,sex and age_total population_female,sex and age_total population_sex ratio (males per 100 females),sex and age_total population_under 5 years,sex and age_total population_5 to 9 years,sex and age_total population_10 to 14 years,sex and age_total population_15 to 19 years,sex and age_total population_20 to 24 years,sex and age_total population_25 to 34 years,sex and age_total population_35 to 44 years,sex and age_total population_45 to 54 years,sex and age_total population_55 to 59 years,sex and age_total population_60 to 64 years,sex and age_total population_65 to 74 years,sex and age_total population_75 to 84 years,sex and age_total population_85 years and over,sex and age_total population_median age (years),sex and age_total population_under 18 years,sex and age_total population_16 years and over,sex and age_total population_18 years and over,sex and age_total population_21 years and over,sex and age_total population_62 years and over,sex and age_total population_65 years and over,sex and age_total population_18 years and over_1,sex and age_total population_18 years and over_male,sex and age_total population_18 years and over_female,sex and age_total population_18 years and over_sex ratio (males per 100 females),sex and age_total population_65 years and over_1,sex and age_total population_65 years and over_male,sex and age_total population_65 years and over_female
Addison County,Vermont,50001,2340,7391,5657,88.1,36939,36313,626,36313,34783,482,124,20,2,0,0,714,86,191,64,21,91,123,138,0,0,0,0,0,210,626,139,192,220,3,36939,35381,664,334,950,16,242,36939,849,448,134,29,238,36090,34241,432,102,711,0,53,551,0,551,17336,29639,14568,15071,36939,18272,18667,97.9,1544,1735,1912,3096,3227,3695,3942,5168,2732,3056,4223,1742,867,43.7,6474,31312,30465,27719,8662,6832,30465,14884,15581,95.5,6832,3199,3633
Bennington County,Vermont,50003,3030,8323,5523,83.9,35920,35197,723,35197,34393,230,62,5,0,0,0,390,21,92,16,231,14,10,6,15,0,0,0,15,107,723,41,541,84,0,35920,35065,313,605,485,40,137,35920,675,76,306,18,275,35245,33893,136,62,390,15,26,723,30,693,21139,28470,13567,14903,35920,17611,18309,96.2,1646,1879,2062,2295,2451,3347,3449,5093,3166,2626,4426,2349,1131,47,6920,29847,29000,27599,9406,7906,29000,13807,15193,90.9,7906,3608,4298
Caledonia County,Vermont,50005,2132,6953,5413,88.6,30425,29876,549,29876,29241,335,69,0,0,7,4,201,26,55,7,40,5,19,49,0,0,0,0,0,30,549,59,291,117,6,30425,29740,407,384,359,56,46,30425,481,76,115,87,203,29944,28877,283,69,175,0,21,519,13,506,16328,24099,11950,12149,30425,15218,15207,100.1,1431,1613,1828,2093,1813,3236,3507,4103,2337,2598,3626,1600,640,44.2,6005,25178,24420,22912,7401,5866,24420,12090,12330,98.1,5866,2755,3111
Chittenden County,Vermont,50007,8439,28189,17102,75.8,162052,158814,3238,158814,146601,4103,432,26,10,0,0,6747,959,1620,203,103,603,468,2791,45,45,0,0,0,886,3238,744,804,1064,1,162052,149540,5157,1421,8040,294,1049,162052,3685,997,545,242,1901,158367,143938,3990,341,6747,45,275,3031,83,2948,69058,126499,61192,65307,162052,79547,82505,96.4,7687,7785,8489,13831,17992,22550,18594,21024,11214,10058,13339,6234,3255,36.5,29468,136335,132584,120399,28480,22828,132584,64199,68385,93.9,22828,9841,12987
Essex County,Vermont,50009,651,1511,1381,103.2,6208,6119,89,6119,5987,62,20,0,0,0,0,35,0,2,5,0,24,4,0,0,0,0,0,0,15,89,11,59,16,1,6208,6075,76,80,53,0,17,6208,83,40,5,2,36,6125,5924,62,20,35,0,4,80,0,80,5146,5019,2509,2510,6208,3135,3073,102,262,313,313,333,271,529,628,917,558,558,912,447,167,50.4,1113,5231,5095,4914,1869,1526,5095,2549,2546,100.1,1526,775,751
Franklin County,Vermont,50011,4032,12927,9657,86.8,49025,47725,1300,47725,46562,292,300,0,0,0,2,174,20,58,64,0,28,0,4,0,0,0,0,0,397,1300,225,859,110,40,49025,47804,598,1251,289,2,422,49025,742,298,253,7,184,48283,46050,292,254,174,0,233,1280,5,1275,22417,37372,18423,18949,49025,24357,24668,98.7,2912,3439,2746,3124,2725,6133,6230,7194,3798,3407,4443,1948,926,40,11140,39347,37885,36093,9308,7317,37885,18654,19231,97,7317,3400,3917
Grand Isle County,Vermont,50013,546,1677,1209,100.1,6965,6720,245,6720,6584,55,33,12,0,0,0,34,0,16,4,0,14,0,0,0,0,0,0,0,14,245,28,191,13,0,6965,6829,83,224,47,13,14,6965,133,46,10,15,62,6832,6473,55,29,34,0,9,232,0,232,5247,5674,2828,2846,6965,3476,3489,99.6,291,352,340,396,366,716,743,1083,641,688,949,312,88,47.8,1235,5891,5730,5491,1746,1349,5730,2859,2871,99.6,1349,675,674
Lamoille County,Vermont,50015,1591,4577,3576,96.2,25268,24858,410,24858,24196,262,196,44,0,0,0,158,30,106,8,5,9,0,0,0,0,0,0,0,46,410,90,195,75,0,25268,24572,397,400,265,12,48,25268,444,137,121,22,164,24824,23930,225,196,158,0,0,315,2,313,13553,19558,9714,9844,25268,12591,12677,99.3,1330,1472,1575,1604,1636,3144,3275,3447,1876,1832,2464,1165,448,40.9,5253,20700,20015,18796,5154,4077,20015,9935,10080,98.6,4077,1999,2078
Orange County,Vermont,50017,2275,6589,4107,85.6,28937,28452,485,28452,27982,188,111,0,0,0,0,71,0,21,18,12,0,3,17,16,0,0,0,16,84,485,85,227,132,0,28937,28467,290,375,223,16,93,28937,392,100,110,0,182,28545,27636,188,111,71,16,47,476,4,472,15346,23327,11452,11875,28937,14357,14580,98.5,1374,1517,1535,1755,1643,3048,3251,4140,2556,2441,3594,1536,547,46.1,5448,24124,23489,22462,7224,5677,23489,11527,11962,96.4,5677,2618,3059
Orleans County,Vermont,50019,2069,6754,5198,87.2,26911,26349,562,26349,25946,120,144,4,0,0,2,64,25,0,11,0,23,0,5,0,0,0,0,0,75,562,182,256,98,0,26911,26508,302,400,178,16,85,26911,387,117,114,22,134,26524,25635,120,144,64,0,33,528,0,528,17304,21231,10652,10579,26911,13525,13386,101,1345,1385,1589,1497,1397,2921,3066,3635,1871,2367,3519,1672,647,45.8,5284,22269,21627,20808,7192,5838,21627,10791,10836,99.6,5838,2719,3119
Rutland County,Vermont,50021,5022,15405,10267,82.1,59273,58732,541,58732,57234,522,283,28,14,0,5,581,75,264,93,29,71,8,41,0,0,0,0,0,112,541,57,264,100,53,59273,57696,670,613,694,7,153,59273,845,315,84,156,290,58428,56564,489,237,581,0,47,510,24,486,34332,48176,23519,24657,59273,29079,30194,96.3,2602,2700,3204,4020,3764,6249,6071,8389,5275,4716,7409,3336,1538,46.6,10595,50137,48678,45780,15052,12283,48678,23681,24997,94.7,12283,5538,6745
Washington County,Vermont,50023,3580,10069,7208,82.8,58477,57338,1139,57338,56069,493,199,0,4,0,0,462,142,113,16,51,65,20,55,27,19,0,5,3,88,1139,240,417,283,48,58477,57160,853,764,797,64,102,58477,1111,324,201,70,516,57366,55120,462,169,453,27,39,1096,6,1090,30624,46714,22942,23772,58477,28816,29661,97.2,2803,3049,3374,3757,3679,6433,7151,8396,4659,4374,6489,3091,1222,43.7,11236,48546,47241,44562,13347,10802,47241,23136,24105,96,10802,4894,5908
Windham County,Vermont,50025,2815,8648,5805,84.7,43150,42085,1065,42085,40874,509,71,0,0,0,5,483,0,179,89,7,59,11,138,33,13,1,0,19,115,1065,221,474,132,10,43150,41899,845,658,686,82,184,43150,982,223,358,58,343,42168,40232,479,71,483,33,0,870,17,853,30425,34617,16682,17935,43150,20937,22213,94.3,1943,2353,2084,2521,2429,4720,4557,5910,3775,3793,5610,2401,1054,47,7929,36339,35221,33754,11161,9065,35221,16959,18262,92.9,9065,4158,4907
Windsor County,Vermont,50027,4337,12281,7607,87.0,55427,54321,1106,54321,53094,405,62,2,0,0,0,465,130,93,98,13,64,26,41,48,37,11,0,0,247,1106,188,499,216,17,55427,54175,690,660,689,152,247,55427,868,138,292,91,347,54559,52510,389,62,465,34,111,988,0,988,34758,44279,21500,22779,55427,27052,28375,95.3,2506,2932,2899,2900,2517,6093,6086,7802,4814,4694,7253,3773,1158,47.7,10246,46467,45181,43674,14822,12184,45181,21886,23295,94,12184,5668,6516
Accomack County,Virginia,51001,3698,9443,8288,83.5,32742,32426,316,32426,22372,9574,176,6,0,0,0,74,30,18,11,7,2,6,0,0,0,0,0,0,230,316,137,85,22,0,32742,22684,9767,315,96,0,251,32742,2934,2118,155,55,606,29808,19691,9569,176,74,0,56,242,0,242,21251,24340,11429,12911,32742,15861,16881,94,1905,1973,1886,1702,1681,3524,3392,4117,2738,2653,4186,2107,878,45.9,6881,26638,25861,24800,8793,7171,25861,12325,13536,91.1,7171,3263,3908
Albemarle County,Virginia,51003,6690,18534,12013,78.1,106355,104110,2245,104110,86739,10375,209,110,0,0,0,5626,1354,1693,382,135,739,291,1032,30,30,0,0,0,1131,2245,671,266,763,72,106355,88728,11360,677,6622,140,1278,106355,6168,2585,591,93,2899,100187,81835,10314,186,5612,30,126,2084,65,2019,44886,78975,37024,41951,106355,50856,55499,91.6,5691,6073,6128,9640,6935,13745,12156,13276,7134,7130,10344,5260,2843,38.8,21734,87026,84621,77100,22535,18447,84621,39876,44745,89.1,18447,8087,10360
Alexandria City,Virginia,51510,6549,30619,20563,75.2,156505,148371,8134,148371,97091,34246,276,53,0,0,0,9553,1498,1622,1665,392,1463,518,2395,68,35,0,0,33,7137,8134,2303,710,2355,145,156505,104367,37674,1469,12888,256,8794,156505,26247,2600,2562,447,20638,130258,81050,33385,92,9446,40,305,5940,160,5780,76105,104975,49769,55206,156505,75346,81159,92.8,11372,7698,6117,5258,7506,34947,28714,21085,9198,7667,10718,4202,2023,36.5,28663,130057,127842,124888,21368,16943,127842,60719,67123,90.5,16943,7273,9670
Alleghany County,Virginia,51005,1760,3991,3749,80.7,15286,14997,289,14997,14065,823,0,0,0,0,0,11,0,0,0,0,0,6,5,7,0,0,0,7,91,289,53,38,14,0,15286,14312,1034,91,25,26,203,15286,218,152,0,0,66,15068,13992,823,0,11,7,47,188,11,177,8034,12274,5921,6353,15286,7520,7766,96.8,679,839,794,933,765,1575,1578,2130,1228,1204,2028,1057,476,47.4,2939,12824,12347,11836,4377,3561,12347,5984,6363,94,3561,1590,1971
Amelia County,Virginia,51007,1335,4432,2860,82.5,12854,12506,348,12506,9738,2737,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,152,41,84,0,12854,10086,2960,143,84,0,0,12854,383,280,71,0,32,12471,9426,2737,31,0,0,0,277,0,277,5543,10008,4867,5141,12854,6652,6202,107.3,744,795,696,973,616,1307,1254,1976,1315,753,1490,721,214,46,2777,10402,10077,9521,2883,2425,10077,4917,5160,95.3,2425,1096,1329
Amherst County,Virginia,51009,4267,7130,6783,77.1,31882,30683,1199,30683,24604,5670,123,0,0,0,0,152,17,42,16,8,10,30,29,22,22,0,0,0,112,1199,575,223,110,77,31882,25637,6487,542,362,50,122,31882,774,233,63,70,408,31108,23951,5665,123,152,22,0,1195,6,1189,14167,25330,11979,13351,31882,15358,16524,92.9,1706,1627,1927,1996,2032,3571,3372,4472,2461,2334,3649,2068,667,44.3,6322,26359,25560,24174,7566,6384,25560,12049,13511,89.2,6384,2779,3605
Appomattox County,Virginia,51011,2114,4896,3623,86.6,15577,15283,294,15283,12125,3088,12,0,0,0,0,24,9,0,0,0,8,0,7,0,0,0,0,0,34,294,151,62,43,0,15577,12401,3239,97,85,5,49,15577,228,58,44,0,126,15349,11945,3079,12,24,0,0,289,15,274,7264,12115,5824,6291,15577,7563,8014,94.4,887,917,903,1096,685,1806,1781,2101,1213,1088,1803,935,362,42.9,3344,12591,12233,11685,3754,3100,12233,5899,6334,93.1,3100,1439,1661
Arlington County,Virginia,51013,9729,35366,23233,82.1,231803,223341,8462,223341,165609,20777,870,176,26,20,21,23992,4511,5874,2128,1129,1908,1717,6725,260,71,105,45,39,11833,8462,1549,573,4127,113,231803,173153,23147,1796,28967,492,13187,231803,36180,4964,2245,1136,27835,195623,143154,20048,606,23874,202,978,6761,382,6379,113084,164109,81666,82443,231803,115819,115984,99.9,13912,11667,9884,8403,15448,58835,38294,29044,12347,10486,14593,5955,2935,34.5,40777,194843,191026,186644,29702,23483,191026,94985,96041,98.9,23483,10588,12895
Augusta County,Virginia,51015,9974,20559,15162,88.3,74701,73315,1386,73315,69281,3116,184,48,0,8,0,453,168,121,75,0,63,1,25,38,33,5,0,0,243,1386,655,210,203,22,74701,70585,3994,536,663,49,401,74701,1970,755,330,34,851,72731,68097,3030,151,453,29,43,928,8,920,32345,59289,30039,29250,74701,37897,36804,103,3496,3717,4617,4371,4132,8428,8771,10930,5785,5633,8701,4811,1309,44.8,14578,61981,60123,57671,17948,14821,60123,30441,29682,102.6,14821,6951,7870
Bath County,Virginia,51017,285,904,885,106.0,4393,4255,138,4255,4137,78,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,24,138,28,73,0,0,4393,4238,106,73,53,0,61,4393,165,150,4,0,11,4228,4033,78,0,16,0,0,101,0,101,3302,3616,1779,1837,4393,2310,2083,110.9,167,196,193,224,233,629,458,660,404,364,474,293,98,47.6,713,3751,3680,3535,1115,865,3680,1827,1853,98.6,865,445,420
Bedford County,Virginia,51019,9153,21139,12771,88.2,77908,76514,1394,76514,69767,5300,39,0,0,0,0,1088,248,178,97,0,292,163,110,17,17,0,0,0,303,1394,653,427,77,52,77908,71095,6025,538,1199,62,423,77908,1646,751,151,48,696,76262,68486,5285,25,1069,17,58,1322,105,1217,36565,61207,29905,31302,77908,38306,39602,96.7,3676,4315,4603,4781,4164,7464,8568,11835,6237,6408,9625,4784,1448,46.2,15762,64309,62146,59728,19378,15857,62146,30373,31773,95.6,15857,7432,8425
Bland County,Virginia,51021,743,1445,1422,-,6447,6371,76,6371,6244,119,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,76,42,23,11,0,6447,6320,161,23,15,0,4,6447,48,0,11,0,37,6399,6211,119,0,4,0,0,65,0,65,3312,5372,2972,2400,6447,3542,2905,121.9,248,308,283,372,268,732,906,979,512,432,846,437,124,46.1,1049,5560,5398,5201,1629,1407,5398,2987,2411,123.9,1407,687,720
Botetourt County,Virginia,51023,1648,7593,4714,88.1,33222,32744,478,32744,31087,994,97,83,0,0,0,273,49,29,0,21,33,141,0,0,0,0,0,0,293,478,281,95,50,0,33222,31513,1327,192,323,0,345,33222,547,192,22,0,333,32675,30848,981,97,273,0,53,423,6,417,14814,26325,12949,13376,33222,16388,16834,97.4,1411,1618,2143,2110,1688,3140,3468,5167,2677,2747,4223,2097,733,47,6575,27518,26647,25565,8941,7053,26647,13114,13533,96.9,7053,3304,3749
Bristol City,Virginia,51520,2910,3443,3562,65.7,16843,16246,597,16246,14804,1191,0,0,0,0,0,9,0,8,0,1,0,0,0,0,0,0,0,0,242,597,404,95,20,27,16843,15366,1665,122,80,8,242,16843,102,49,19,0,34,16741,14702,1191,0,9,0,242,597,0,597,8737,13300,6182,7118,16843,8004,8839,90.6,869,1028,990,980,883,2237,2051,2127,1277,1020,1801,1005,575,42.2,3459,13734,13384,12804,3907,3381,13384,6245,7139,87.5,3381,1341,2040
Brunswick County,Virginia,51025,1976,5985,5172,81.8,16665,16357,308,16357,6962,9121,26,0,0,0,0,99,0,84,5,0,5,5,0,0,0,0,0,0,149,308,110,11,25,111,16665,7149,9385,177,124,14,159,16665,364,191,77,0,96,16301,6780,9072,26,99,0,16,308,10,298,8221,13591,7304,6287,16665,8892,7773,114.4,730,823,746,1026,1076,2174,2016,2228,1325,1154,1913,962,492,43.2,2820,14188,13845,13123,4020,3367,13845,7445,6400,116.3,3367,1515,1852
Buchanan County,Virginia,51027,1968,6296,6892,80.3,22138,22039,99,22039,21083,641,45,4,0,0,0,186,107,64,0,0,11,0,4,0,0,0,0,0,84,99,10,34,17,0,22138,21169,664,80,203,25,97,22138,96,51,0,10,35,22042,21059,638,36,186,0,25,98,12,86,11584,18035,9056,8979,22138,11155,10983,101.6,905,1098,1191,1176,1116,2593,2566,3373,1936,1622,2737,1490,335,46.5,3979,18606,18159,17451,5482,4562,18159,9124,9035,101,4562,2032,2530
Buckingham County,Virginia,51029,1708,5812,4854,86.3,17004,16700,304,16700,10415,5816,106,56,0,0,0,56,0,0,0,26,0,5,25,0,0,0,0,0,307,304,254,19,0,5,17004,10699,6087,141,70,0,322,17004,408,276,16,8,108,16596,10396,5771,86,56,0,0,287,0,287,7400,13711,7645,6066,17004,9422,7582,124.3,766,797,1037,801,1054,2330,2129,2529,1390,1064,1878,983,246,42.7,3182,14167,13822,13536,3703,3107,13822,7746,6076,127.5,3107,1439,1668
Buena Vista City,Virginia,51530,443,1030,1154,64.5,6399,6360,39,6360,5678,381,6,0,0,0,0,275,0,0,0,275,0,0,0,8,8,0,0,0,12,39,6,10,6,0,6399,5713,393,16,291,19,12,6399,62,20,0,0,42,6337,5634,381,6,275,8,0,33,0,33,2878,5173,2344,2829,6399,2845,3554,80.1,237,427,367,477,801,719,554,849,395,397,642,410,124,37.5,1206,5262,5193,4760,1435,1176,5193,2344,2849,82.3,1176,461,715
Campbell County,Virginia,51031,6515,16543,13484,78.0,55170,53840,1330,53840,45008,7904,76,24,0,0,0,456,16,89,35,18,101,156,41,7,0,0,7,0,389,1330,625,277,236,123,55170,46203,8674,502,694,7,446,55170,1298,806,257,54,181,53872,44142,7898,76,456,0,57,1243,13,1230,25754,43304,20648,22656,55170,26736,28434,94,2747,3174,2991,3183,3350,7222,6390,7665,4215,3677,6063,3188,1305,42.8,11024,45515,44146,42298,12628,10556,44146,21161,22985,92.1,10556,4626,5930
Caroline County,Virginia,51033,3113,9773,7039,85.9,30184,29189,995,29189,19874,8428,47,16,0,0,4,268,70,114,76,0,0,0,8,0,0,0,0,0,572,995,457,266,135,12,30184,20850,8962,358,441,0,632,30184,1381,272,337,114,658,28803,19163,8292,47,259,0,110,932,15,917,12176,22753,11293,11460,30184,15138,15046,100.6,2136,2042,1803,1729,1982,3581,3935,4135,2187,1846,2923,1356,529,40,6981,23925,23203,21920,6031,4808,23203,11498,11705,98.2,4808,2222,2586
Carroll County,Virginia,51035,3452,8049,6108,85.6,29738,29311,427,29311,28960,150,111,29,0,0,0,31,0,0,0,26,0,0,5,0,0,0,0,0,59,427,319,65,27,0,29738,29387,469,176,58,0,75,29738,996,546,136,87,227,28742,28174,124,81,31,0,0,332,16,316,16741,23822,11777,12045,29738,14963,14775,101.3,1440,1340,1756,1647,1413,3082,3257,4294,2321,2312,4023,2143,710,47.4,5590,24690,24148,22994,8188,6876,24148,11916,12232,97.4,6876,3171,3705
Charles City County,Virginia,51036,956,2239,1996,85.2,6995,6801,194,6801,3016,3279,453,0,0,0,0,31,11,6,3,2,9,0,0,0,0,0,0,0,22,194,5,65,3,26,6995,3171,3402,629,37,0,32,6995,129,75,30,16,8,6866,2925,3255,448,23,0,21,194,10,184,3353,5825,2842,2983,6995,3441,3554,96.8,280,252,356,348,337,676,681,1167,670,626,990,484,128,50.3,1099,6031,5896,5685,1928,1602,5896,2860,3036,94.2,1602,737,865
Charlotte County,Virginia,51037,1467,3336,2356,81.5,12095,11993,102,11993,8323,3506,10,7,0,0,0,45,0,0,5,11,12,9,8,0,0,0,0,0,109,102,76,12,2,11,12095,8414,3593,33,47,0,110,12095,243,151,12,0,80,11852,8189,3506,10,45,0,0,102,1,101,6338,9428,4538,4890,12095,5981,6114,97.8,715,597,757,853,677,1054,1330,1654,792,1062,1482,781,341,45.8,2599,9838,9496,9079,3178,2604,9496,4590,4906,93.6,2604,1169,1435
Charlottesville City,Virginia,51540,3687,11685,7065,72.2,47042,45647,1395,45647,33128,8820,145,2,0,0,0,3362,662,1148,55,103,299,200,895,23,11,0,0,12,169,1395,513,98,554,38,47042,34461,9468,331,3939,83,277,47042,2531,1315,219,177,820,44511,30923,8773,129,3356,23,44,1263,42,1221,20499,36254,17161,19093,47042,22830,24212,94.3,2574,2047,1759,3448,7089,9500,5772,4973,2853,1988,3050,1331,658,31.3,7385,40493,39657,35086,6321,5039,39657,18944,20713,91.5,5039,2112,2927
Chesapeake City,Virginia,51550,20149,62056,42933,76.4,237820,229238,8582,229238,145954,71092,428,18,0,0,14,7790,946,1065,4034,186,385,598,576,216,61,26,120,9,3758,8582,2410,1131,2528,418,237820,153141,75294,2349,11496,584,4318,237820,14120,4375,4137,823,4785,223700,137582,69494,417,7636,204,828,7539,43,7496,89882,175724,84862,90862,237820,116188,121632,95.5,15066,16381,15929,16092,15267,33676,31839,33180,16944,13617,18246,8458,3125,36.7,57767,186848,180053,171496,37494,29829,180053,86855,93198,93.2,29829,12922,16907
Chesterfield County,Virginia,51041,27741,83714,57401,80.0,339447,328453,10994,328453,231715,77546,1072,113,0,17,6,11398,2875,1749,1424,518,885,1182,2765,135,21,58,0,56,6587,10994,3877,933,2711,621,339447,241182,83725,3518,15244,641,7579,339447,28910,5796,4628,504,17982,310537,211628,76417,931,11316,79,720,9446,139,9307,129208,244915,115059,129856,339447,163534,175913,93,20218,23048,23349,24745,20939,40067,45661,49045,23614,21479,30233,11875,5174,38.8,81792,267979,257655,244352,59848,47282,257655,121493,136162,89.2,47282,21011,26271
Clarke County,Virginia,51043,1030,3061,2299,91.2,14365,13912,453,13912,12902,687,6,4,0,0,0,109,27,54,10,0,2,0,16,0,0,0,0,0,208,453,193,53,115,0,14365,13339,907,102,234,20,253,14365,748,242,49,73,384,13617,12427,684,6,102,0,0,398,0,398,6317,11107,5502,5605,14365,7333,7032,104.3,670,918,779,987,808,1262,1500,2271,1331,950,1668,800,421,46.6,3023,11814,11342,10888,3382,2889,11342,5641,5701,98.9,2889,1378,1511
Colonial Heights City,Virginia,51570,1349,4448,3108,67.4,17593,17030,563,17030,13483,2578,48,8,0,0,0,649,128,194,18,19,96,90,104,21,0,0,21,0,251,563,196,87,119,89,17593,13907,2883,224,806,43,293,17593,1011,115,399,149,348,16582,12861,2484,48,649,0,48,492,8,484,7752,13116,5886,7230,17593,8053,9540,84.4,1228,1014,1199,998,945,2309,1914,2260,1163,954,1789,1271,549,40.3,4034,13923,13559,13054,4133,3609,13559,6096,7463,81.7,3609,1453,2156
Covington City,Virginia,51580,386,1048,905,72.7,5582,5430,152,5430,4609,739,0,0,0,0,0,74,0,30,44,0,0,0,0,8,0,0,0,8,0,152,54,64,0,0,5582,4740,814,64,74,29,13,5582,144,56,0,0,88,5438,4533,710,0,74,8,0,113,0,113,3006,4465,2153,2312,5582,2742,2840,96.5,236,281,384,284,361,670,731,667,341,425,688,318,196,42.8,1072,4601,4510,4356,1482,1202,4510,2184,2326,93.9,1202,506,696
Craig County,Virginia,51045,322,1109,1339,65.4,5113,5101,12,5101,5092,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,3,0,0,5113,5104,17,12,0,0,1,5113,2,0,0,0,2,5111,5092,7,0,0,0,0,12,0,12,2883,4229,1956,2273,5113,2501,2612,95.8,241,268,176,244,272,695,482,880,284,387,658,462,64,48.3,884,4302,4229,4085,1369,1184,4229,1956,2273,86.1,1184,468,716
Culpeper County,Virginia,51047,4878,12458,11409,85.2,50450,48351,2099,48351,38439,6983,213,42,0,0,13,713,284,111,85,60,104,55,14,68,65,0,0,3,1935,2099,1417,165,321,0,50450,40470,8461,393,1080,112,2070,50450,5180,1997,548,52,2583,45270,35647,6642,154,704,68,182,1873,7,1866,18499,35757,17911,17846,50450,25249,25201,100.2,3291,3349,3957,3448,2710,5859,6474,7158,3481,3162,4632,2220,709,38.8,12705,39180,37745,35881,9568,7561,37745,18781,18964,99,7561,3478,4083
Cumberland County,Virginia,51049,1385,3316,2333,84.5,9786,9526,260,9526,6207,3149,77,16,0,0,61,93,0,0,46,0,47,0,0,0,0,0,0,0,0,260,247,0,13,0,9786,6467,3396,77,106,0,0,9786,27,14,13,0,0,9759,6193,3136,77,93,0,0,260,0,260,4709,7813,3724,4089,9786,4830,4956,97.5,514,403,625,695,586,990,1054,1425,883,541,1399,460,211,45.5,1973,8139,7813,7427,2443,2070,7813,3724,4089,91.1,2070,948,1122
Danville City,Virginia,51590,4637,9561,8097,62.0,41512,40227,1285,40227,18794,20444,24,4,0,0,0,453,190,87,50,18,7,6,95,30,3,19,0,8,482,1285,591,155,41,150,41512,19820,21421,495,606,69,616,41512,1711,731,299,15,666,39801,17864,20186,24,453,30,32,1212,83,1129,22151,31729,14055,17674,41512,19041,22471,84.7,2472,2818,2371,2382,2703,5249,4228,5033,3020,2910,4411,2573,1342,41.1,9106,33276,32406,30988,9994,8326,32406,14442,17964,80.4,8326,3185,5141
Dickenson County,Virginia,51051,1003,4087,3557,84.3,14960,14854,106,14854,14721,99,4,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,16,106,9,82,7,7,14960,14819,116,93,22,1,16,14960,133,73,7,6,47,14827,14612,99,4,14,0,0,98,0,98,7588,11959,6048,5911,14960,7585,7375,102.8,757,763,886,818,788,1698,1880,1988,1264,1014,1838,887,379,44.3,2957,12373,12003,11592,3708,3104,12003,6064,5939,102.1,3104,1420,1684
